how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
35-44,Computing or Tech,Backend Engineer,105000,10000.0,Texas,San Antonio,8 - 10 years,8 - 10 years,College degree
25-34,Computing or Tech,Data Engineer,95000,3000.0,Maryland,Baltimore,8 - 10 years,2 - 4 years,College degree
25-34,Art & Design,Junior Interior Designer,35000,0.0,Georgia,Savannah,5-7 years,5-7 years,College degree
25-34,Recruitment or HR,Researcher,31824,0.0,Tennessee,Nashville,2 - 4 years,8 - 10 years,Master's degree
35-44,Recruitment or HR,Technical Recruiter,71400,5000.0,Texas,Austin,11 - 20 years,5-7 years,Master's degree
25-34,Media & Digital,HRBP,103000,10000.0,New York,NYC,8 - 10 years,5-7 years,College degree
45-54,Government and Public Administration,Manager,120000,0.0,Illinois,Chicago,21 - 30 years,21 - 30 years,Master's degree
45-54,Engineering or Manufacturing,Systems Engineer,161200,9000.0,Washington,Seattle,21 - 30 years,21 - 30 years,PhD
35-44,Philanthropy,Program Officer,80000,0.0,Maryland,Baltimore,11 - 20 years,5-7 years,Master's degree
45-54,Government and Public Administration,Project Manager,55000,,Arkansas,Little Rock,11 - 20 years,11 - 20 years,Master's degree
25-34,Engineering or Manufacturing,Manufacturing Engineer,74500,0.0,Georgia,Augusta,2 - 4 years,2 - 4 years,College degree
35-44,Law,Attorney,112000,0.0,Colorado,Denver,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Nonprofits,Project Manager,58000,,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree
25-34,Nonprofits,Exhibitions Preparator,44000,0.0,Oregon,Bend,5-7 years,5-7 years,Master's degree
35-44,Insurance,Vice President,137200,100000.0,Texas,Houston,11 - 20 years,11 - 20 years,College degree
35-44,Property or Construction,Commercial Property Manager,80000,10000.0,California,Tustin,11 - 20 years,8 - 10 years,College degree
35-44,Education (Higher Education),Associate Director of Human Resources,63400,0.0,Iowa,Iowa,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,Senior Manager DevOps,180000,20000.0,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree
35-44,Planning,Transportation Planner,72000,0.0,Pennsylvania,Scranton,11 - 20 years,8 - 10 years,
45-54,"Marketing, Advertising & PR",Senior web developer,115000,,Illinois,Chicago,21 - 30 years,11 - 20 years,College degree
45-54,Computing or Tech,Systems engineer,90000,5000.0,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College degree
45-54,Property or Construction,Development & Implementation Specialist,73000,1500.0,California,Santa Rosa,11 - 20 years,5-7 years,Some college
45-54,Nonprofits,Executive Director,68000,0.0,Pennsylvania,Lititz,21 - 30 years,21 - 30 years,Master's degree
35-44,Nonprofits,Development Director,66000,,Pennsylvania,Pittsburgh,5-7 years,2 - 4 years,Master's degree
45-54,Education (Higher Education),Adjunct Professor,45000,,California,Sacramento,8 - 10 years,8 - 10 years,PhD
25-34,"Accounting, Banking & Finance",Operations,100000,50000.0,Texas,Dallas,5-7 years,5-7 years,College degree
35-44,Health care,Internal Medicine physician,240000,20000.0,Florida,Jacksonville,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,Nonprofits,Membership & Conference Director,73647,250.0,New York,New York City,11 - 20 years,8 - 10 years,Master's degree
25-34,Nonprofits,Director of Membership,155000,0.0,New York,New York City,8 - 10 years,8 - 10 years,College degree
25-34,Computing or Tech,Security Compliance Lead,100000,,Texas,Austin,11 - 20 years,8 - 10 years,College degree
25-34,Computing or Tech,Senior systems consultant,140000,0.0,Florida,Fort Lauderdale,5-7 years,2 - 4 years,College degree
25-34,Computing or Tech,Project Manager,110000,5000.0,,San Francisco,8 - 10 years,5-7 years,College degree
35-44,Education (Higher Education),Student Conduct Investigator,50000,0.0,Wisconsin,Whitewater,11 - 20 years,11 - 20 years,Master's degree
45-54,Computing or Tech,web Application Developer,75000,,Texas,canyon,21 - 30 years,21 - 30 years,Master's degree
35-44,Nonprofits,Accountant,57000,0.0,Michigan,Metro Detroit,21 - 30 years,8 - 10 years,Some college
35-44,Computing or Tech,Sr software engineer,128000,0.0,Utah,Salt Lake City,21 - 30 years,21 - 30 years,Master's degree
25-34,Education (Higher Education),Library Technical Assistant II,28000,,Alabama,Mobile,8 - 10 years,5-7 years,Master's degree
25-34,Business or Consulting,Director of Revenue Management,62300,,Oregon,Portland,8 - 10 years,8 - 10 years,Some college
25-34,"Accounting, Banking & Finance",Senior Financial Analyst,850000,0.0,Illinois,Chicago,5-7 years,2 - 4 years,College degree
45-54,Education (Primary/Secondary),Confidential Assistant to the Superintendent,64000,0.0,Rhode Island,Suburban School District,21 - 30 years,5-7 years,College degree
45-54,Computing or Tech,Director of Software Engineering,262650,65662.0,California,San Francisco,21 - 30 years,21 - 30 years,College degree
35-44,Business or Consulting,Director,104000,0.0,Michigan,Grand rapids,11 - 20 years,11 - 20 years,College degree
45-54,Education (Higher Education),Associate Professor of Instruction,81200,,Texas,Dallas,11 - 20 years,11 - 20 years,PhD
35-44,"Marketing, Advertising & PR",Digital Engagement Specialist,40000,5000.0,Vermont,small town,2 - 4 years,2 - 4 years,Some college
35-44,Biotechnology,IT Business Analyst,93000,9300.0,Massachusetts,Lexington,11 - 20 years,11 - 20 years,College degree
55-64,Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs),Library Assistant,41394,0.0,Florida,Boca Raton,8 - 10 years,8 - 10 years,Master's degree
35-44,Hospitality & Events,Finance Manager,62500,0.0,Minnesota,Saint Paul,11 - 20 years,11 - 20 years,College degree
35-44,Nonprofits,Program Coordinator,61000,,Rhode Island,Providence,11 - 20 years,2 - 4 years,College degree
25-34,research,Research Associate,56000,0.0,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree
45-54,Government and Public Administration,Supervisory Archivist,151000,2000.0,Maryland,College Park,21 - 30 years,21 - 30 years,Master's degree
45-54,Outsourcing Services,Senior Manager,90000,4500.0,Texas,Dallas,21 - 30 years,8 - 10 years,Some college
25-34,Law,Associate,75000,5000.0,Virginia,Richmond,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
18-24,"Accounting, Banking & Finance",Pricing associate,57500,,Virginia,Reston,1 year or less,1 year or less,College degree
35-44,Scientific research (industry),Senior scientist,122000,14000.0,Wisconsin,Madison,11 - 20 years,11 - 20 years,PhD
25-34,Nonprofits,Lead Implementation Specialist,37500,8000.0,Iowa,Des Moines,5-7 years,2 - 4 years,College degree
25-34,Sales,Asia Pacific Sales Manager,75000,0.0,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree
35-44,Education (Primary/Secondary),Teacher,50000,0.0,Vermont,I don’t live in a city; I am VERY rural,11 - 20 years,8 - 10 years,Master's degree
35-44,Government and Public Administration,Environmental Scientist,68000,0.0,New Mexico,Albuquerque,11 - 20 years,11 - 20 years,Master's degree
25-34,Retail,Senior Demand Manager,70000,2000.0,Louisiana,New Orleans,11 - 20 years,8 - 10 years,College degree
35-44,Nonprofits,Director of Communications,67000,1000.0,Connecticut,New Haven,11 - 20 years,11 - 20 years,College degree
25-34,Property or Construction,"Senior Manager, Marketing Operations",125000,25000.0,Maryland,Potomac,11 - 20 years,11 - 20 years,Master's degree
18-24,Utilities & Telecommunications,Systems Operations Intern,58240,0.0,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,College degree
25-34,Education (Higher Education),Program Director,79000,,Washington,Olympia,5-7 years,5-7 years,College degree
35-44,Computing or Tech,Business Analyst (Operations),93000,0.0,Colorado,Colorado Springs,21 - 30 years,11 - 20 years,Master's degree
45-54,Education (Higher Education),Head Librarian,75000,,Virginia,Richmond,21 - 30 years,11 - 20 years,Master's degree
25-34,"Marketing, Advertising & PR",Vice president,155000,7500.0,New York,New York,8 - 10 years,8 - 10 years,Master's degree
25-34,Education (Higher Education),Software developer,88000,,Massachusetts,Boston,8 - 10 years,5-7 years,College degree
35-44,Health care,Medical Laboratory Scientist,67600,0.0,Ohio,Cincinnati,21 - 30 years,8 - 10 years,College degree
55-64,Bio tech,Project manager senior,107250,17000.0,Massachusetts,Boston,41 years or more,8 - 10 years,College degree
55-64,Library,Library Assistant,35000,0.0,Pennsylvania,Warminster,21 - 30 years,11 - 20 years,College degree
25-34,Education (Higher Education),Finance assistant,37024,,Michigan,Kalamazoo,5-7 years,2 - 4 years,PhD
18-24,Biotech,Research Associate II,79695,8000.0,Massachusetts,Watertown,2 - 4 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",Media Supervisor,87000,0.0,Minnesota,Minneapolis,5-7 years,5-7 years,College degree
35-44,"Marketing, Advertising & PR",Digital Director,100000,5000.0,California,San Francisco,21 - 30 years,8 - 10 years,College degree
35-44,"Accounting, Banking & Finance",Assistant Controller,57160,11000.0,Iowa,Des Moines,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Senior Customer Support Representative,80000,,Oregon,Salem (remote for Boston Mass),8 - 10 years,8 - 10 years,College degree
35-44,Agriculture or Forestry,Veterinary Technician,50000,5000.0,Maryland,Baltimore,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Senior Software Engineer,152000,22800.0,Virginia,Washington DC metro area,5-7 years,5-7 years,College degree
25-34,Property or Construction,Property manager,68000,2000.0,Connecticut,Ridgefield,5-7 years,5-7 years,College degree
25-34,Government and Public Administration,Chief of Staff,77800,0.0,Vermont,Burlington,5-7 years,5-7 years,College degree
18-24,Engineering or Manufacturing,Mechanical Engineer,70000,,South Carolina,Aiken,2 - 4 years,2 - 4 years,College degree
45-54,Education (Higher Education),Cataloging Librarian,78000,0.0,California,Near LA,11 - 20 years,2 - 4 years,PhD
25-34,Media & Digital,Deputy managing editor,72000,0.0,Massachusetts,Boston,5-7 years,5-7 years,College degree
25-34,Computing or Tech,IT Consultant,55000,5000.0,Illinois,Chicago Suburbs,5-7 years,5-7 years,High School
35-44,Computing or Tech,data team lead,220000,10000.0,California,san francisco,11 - 20 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Engineering Manager,245000,49000.0,California,San Francisco,21 - 30 years,21 - 30 years,College degree
25-34,Real Estate Association,Social Media Coordinator,47000,,New York,West Babylon,5-7 years,2 - 4 years,College degree
35-44,Education (Higher Education),Admissions Coordinator,40000,0.0,Louisiana,New Orleans,11 - 20 years,2 - 4 years,Some college
45-54,Business or Consulting,Senior copywriter,63000,0.0,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree
25-34,Nonprofits,Manager,54000,0.0,Kentucky,Louisville,11 - 20 years,11 - 20 years,Master's degree
35-44,Engineering or Manufacturing,Compliance Manager,114500,2500.0,New York,Rochester,11 - 20 years,8 - 10 years,College degree
25-34,Business or Consulting,Logistics Coordinator,40000,1500.0,Massachusetts,Boston,8 - 10 years,2 - 4 years,Master's degree
35-44,Social Work,Program Coordinator II,68000,0.0,Massachusetts,Boston Massachusetts,11 - 20 years,11 - 20 years,Master's degree
25-34,Education (Higher Education),Help Desk Supervisor,67000,,California,Los Angeles,8 - 10 years,8 - 10 years,College degree
45-54,Technical/Cybersecurity,Product Manager,190000,28000.0,Massachusetts,Hopkinton,21 - 30 years,21 - 30 years,Master's degree
25-34,Ministry,Youth Pastor,42000,0.0,Arkansas,Fayetteville,5-7 years,5-7 years,College degree
55-64,Education (Higher Education),Coordinator,36000,1500.0,Missouri,Saint Louis,31 - 40 years,21 - 30 years,College degree
35-44,Computing or Tech,Staff Developer Evangelist,195000,60000.0,California,San Francisco,11 - 20 years,8 - 10 years,College degree
25-34,Recruitment or HR,Talent Acquisition Coordinator,75000,,Massachusetts,Boston,8 - 10 years,2 - 4 years,College degree
35-44,Media & Digital,Associate Magazine Editor,56000,1000.0,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree
45-54,Computing or Tech,Associate Staff Firmware Engineer,170000,45000.0,Texas,Austin,21 - 30 years,21 - 30 years,College degree
25-34,Computing or Tech,"Product Policy Manager, Trust & Safety",148000,18500.0,California,Bay area,5-7 years,5-7 years,Master's degree
35-44,"Accounting, Banking & Finance",Senior Audit Group Manager,126500,17000.0,Maine,Portland,11 - 20 years,11 - 20 years,College degree
35-44,Education (Higher Education),Associate Director of Development,72000,,Texas,Houston,8 - 10 years,5-7 years,Master's degree
25-34,Education (Higher Education),Student Advisor,33000,0.0,Vermont,Burlington,8 - 10 years,2 - 4 years,Master's degree
25-34,Insurance,Appeal adjudicator,45760,4800.0,Washington,Seattle,11 - 20 years,5-7 years,College degree
35-44,Education (Higher Education),Program coordinator,53000,0.0,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree
35-44,Education (Higher Education),Research Librarian,50000,0.0,Massachusetts,Boston,11 - 20 years,2 - 4 years,Master's degree
45-54,Computing or Tech,Manager,144000,14000.0,Arkansas,Fort Smith,21 - 30 years,21 - 30 years,Master's degree
35-44,Health care,Infrastructure Engineering Senior Advisor,93000,25000.0,Maryland,Frederick,11 - 20 years,2 - 4 years,High School
25-34,Computing or Tech,Software Developer,106000,0.0,Colorado,Denver,5-7 years,2 - 4 years,College degree
35-44,Health care,Associate Chairperson,380000,9000.0,New Jersey,New York City,8 - 10 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,Education (Higher Education),Accounting Analyst,58000,,Indiana,Bloomington,5-7 years,5-7 years,College degree
55-64,Education (Primary/Secondary),PeopleSoft developer,120000,0.0,Texas,Sugar land,31 - 40 years,31 - 40 years,College degree
55-64,Education (Primary/Secondary),Music Teacher Half Time Grades PK -4,54100,0.0,North Dakota,Minot,11 - 20 years,11 - 20 years,College degree
35-44,"Leisure, Sport & Tourism",Sr Finance Manager,135000,20250.0,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree
25-34,Property or Construction,Financial Analyst,70000,45000.0,California,Los Angeles,2 - 4 years,2 - 4 years,College degree
25-34,Government and Public Administration,Economic Development Planner,64000,0.0,Massachusetts,Boston,5-7 years,2 - 4 years,Master's degree
35-44,Government and Public Administration,Quality Services Specialist,55000,1500.0,Wisconsin,Madison,11 - 20 years,5-7 years,College degree
45-54,Nonprofits,Development Officer,82000,,Florida,Panhandle of FL,21 - 30 years,21 - 30 years,Master's degree
25-34,Engineering or Manufacturing,Senior Manager Quality Assurance,120000,20000.0,North Carolina,Raleigh,8 - 10 years,5-7 years,College degree
35-44,Retail,Data Analyst,31200,0.0,New Jersey,Iselin,11 - 20 years,11 - 20 years,College degree
45-54,Education (Higher Education),Sr. Operations Manager,67000,0.0,New Mexico,Albuquerque,21 - 30 years,21 - 30 years,Master's degree
35-44,Health care,Nurse practitioner,105000,,Maryland,Havre de Grace,11 - 20 years,2 - 4 years,Master's degree
35-44,Social Work,Social Worker,56000,0.0,New York,Schenectady,8 - 10 years,2 - 4 years,Master's degree
35-44,"Accounting, Banking & Finance",Controller,82500,,Indiana,Indianapolis,11 - 20 years,8 - 10 years,Master's degree
35-44,Education (Primary/Secondary),Success Manager,100000,30000.0,Alaska,Tucson,11 - 20 years,5-7 years,Master's degree
25-34,Engineering or Manufacturing,Software Engineer,108000,1000.0,California,San Diego,2 - 4 years,2 - 4 years,College degree
35-44,Engineering or Manufacturing,Project Estimator,95000,5000.0,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree
25-34,Education (Higher Education),Academic Advising Coordinator,45000,0.0,Texas,Austin,5-7 years,2 - 4 years,Master's degree
35-44,Engineering or Manufacturing,Project Engineer,82000,3000.0,Indiana,Indianapolis,11 - 20 years,8 - 10 years,College degree
25-34,Engineering or Manufacturing,Mechanical Engineer,85000,,Massachusetts,Boston,5-7 years,5-7 years,College degree
35-44,Research at a State University,Senior Research Specialist,55000,0.0,Wisconsin,Madison,11 - 20 years,11 - 20 years,College degree
55-64,Education (Primary/Secondary),Assistant to the Associate Superintendent,67900,0.0,Illinois,Northfield,31 - 40 years,21 - 30 years,Some college
45-54,Nonprofits,Director of Events,165000,0.0,California,Chicago,21 - 30 years,11 - 20 years,College degree
35-44,Nonprofits,Assistant Director of Prospect Research,92143,9000.0,New York,New York,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Marketing Manager,84000,2000.0,California,Los Angeles,8 - 10 years,5-7 years,Master's degree
45-54,Engineering or Manufacturing,Senior VP,260000,78000.0,Oregon,Portland,31 - 40 years,31 - 40 years,High School
35-44,Engineering or Manufacturing,HR Manager,175000,15000.0,New York,Syracuse,11 - 20 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Senior Manager,130000,30000.0,Illinois,Chicago,5-7 years,5-7 years,Master's degree
25-34,Education (Primary/Secondary),High School Teacher,50000,,Ohio,Cleveland,8 - 10 years,5-7 years,Master's degree
25-34,Engineering or Manufacturing,Production Technician,65000,4000.0,Wisconsin,Madison,5-7 years,2 - 4 years,College degree
55-64,Education (Higher Education),Associate Dean,100000,0.0,New York,New York,31 - 40 years,21 - 30 years,College degree
45-54,Government and Public Administration,Assistant Deputy Director,155000,0.0,California,San Francisco Bay Area,11 - 20 years,11 - 20 years,Master's degree
25-34,Education (Higher Education),Executive Staff Assistant,63750,0.0,Wisconsin,Madison,5-7 years,5-7 years,College degree
35-44,Nonprofits,Museum Collections Manager,57000,0.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree
25-34,Property or Construction,Receptionist,35360,50.0,Oregon,Hillsboro,5-7 years,2 - 4 years,College degree
35-44,Government and Public Administration,Youth Services Librarian,45000,0.0,Georgia,Alpharetta,11 - 20 years,11 - 20 years,Master's degree
35-44,Energy,Scrum Master,118000,18000.0,Texas,Houston,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Help Desk Administrator I,35360,0.0,Louisiana,New Orleans,5-7 years,2 - 4 years,College degree
25-34,Insurance,CLAIMS REPRESENTATIVE,79000,0.0,Texas,Dallas,8 - 10 years,5-7 years,College degree
45-54,Utilities & Telecommunications,Principal Business Manager,122577,15339.0,Missouri,St Louis,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Customer Success Manager,116000,34000.0,New York,NYC,5-7 years,2 - 4 years,Master's degree
35-44,Energy,Director,200000,230000.0,New York,Remote,8 - 10 years,8 - 10 years,Master's degree
45-54,Health care,Application Systems Analyst,70500,0.0,New Hampshire,Keene,11 - 20 years,5-7 years,College degree
35-44,Education (Primary/Secondary),Career Specialist,46000,0.0,South Carolina,Lexington,11 - 20 years,2 - 4 years,College degree
25-34,Art & Design,Illustrator,84000,,California,San Francisco,2 - 4 years,2 - 4 years,College degree
45-54,Education (Higher Education),Application Developer,82000,0.0,Texas,Fort Worth,21 - 30 years,21 - 30 years,College degree
45-54,Business or Consulting,Agile Coach,220000,,Maryland,Washington DC suburbs,11 - 20 years,8 - 10 years,College degree
35-44,Nonprofits,Registrar,75212,3000.0,California,San Francisco,8 - 10 years,8 - 10 years,Master's degree
35-44,Law,Marketing Manager,74450,,Florida,Tampa,11 - 20 years,11 - 20 years,College degree
35-44,Education (Higher Education),Production Manager,69000,,Connecticut,New Haven,11 - 20 years,5-7 years,Master's degree
25-34,Textbook Copyeditor,Editorial Lead,56160,0.0,Colorado,Colorado Springs,5-7 years,5-7 years,College degree
35-44,Computing or Tech,principal data scientist,180000,,Minnesota,Twin Cities,11 - 20 years,2 - 4 years,PhD
25-34,Computing or Tech,Software Development Engineer,147000,40000.0,Washington,Seattle,5-7 years,5-7 years,College degree
45-54,Health care,Instructional Designer,78260,4500.0,California,"Telecommute from Anaheim, CA; employer office in Rancho Cucamonga, CA",21 - 30 years,5-7 years,College degree
25-34,Nonprofits,Test Development Coordinator,65000,,District of Columbia,Washington,5-7 years,5-7 years,Master's degree
25-34,Education (Higher Education),Career Services Coordinator,49000,,Michigan,Ann Arbor,5-7 years,5-7 years,Master's degree
25-34,Computing or Tech,Lead MES Developer,101000,13000.0,New York,Rochester,5-7 years,5-7 years,College degree
25-34,Computing or Tech,"Environmental Health and Safety, and Emergency Management Lead",134000,13400.0,California,San Francisco,8 - 10 years,8 - 10 years,College degree
35-44,Nonprofits,Senior Researcher,75000,,New York,New York,5-7 years,5-7 years,PhD
25-34,Biotech,Regulatory affairs manager,99100,10000.0,Maryland,Rockville,5-7 years,2 - 4 years,Master's degree
35-44,Veterinary,Customer Service Representative,35000,100.0,South Carolina,Columbia,11 - 20 years,11 - 20 years,Master's degree
35-44,Business or Consulting,Senior Manager,148000,5000.0,Virginia,Arlington,11 - 20 years,5-7 years,Master's degree
35-44,Nonprofits,Development Manager,60000,,California,Pasadena,8 - 10 years,2 - 4 years,Master's degree
55-64,Education (Primary/Secondary),Teacher,42000,500.0,Illinois,Nauvoo,11 - 20 years,11 - 20 years,College degree
45-54,Government and Public Administration,Office & Administrative Specialist,40000,0.0,Minnesota,St Paul,21 - 30 years,11 - 20 years,Master's degree
25-34,Education (Higher Education),Archives technician,37000,0.0,Ohio,Columbus,8 - 10 years,5-7 years,Master's degree
35-44,Engineering or Manufacturing,Energy Performance Expert,91000,9000.0,Virginia,Richmond,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Partnerships,200000,40000.0,California,Los Angeles,8 - 10 years,5-7 years,College degree
25-34,Computing or Tech,Systems Engineer,55000,0.0,New York,New York City,11 - 20 years,2 - 4 years,Some college
25-34,Media & Digital,News videographer,65000,,New Jersey,Newark,11 - 20 years,11 - 20 years,College degree
45-54,Media & Digital,Associate Marketing Director,100017,5000.0,New York,New York,21 - 30 years,5-7 years,Master's degree
55-64,"Marketing, Advertising & PR",Graphic Designer,61000,,Illinois,Mount Prospect,31 - 40 years,31 - 40 years,College degree
35-44,Engineering or Manufacturing,Quality tech,36000,,Tennessee,Hartsville,21 - 30 years,2 - 4 years,Some college
18-24,"Marketing, Advertising & PR",Marketing coordinator,57000,,Colorado,Denver,2 - 4 years,1 year or less,College degree
25-34,Recruitment or HR,People Operations Manager (HR Manager),75000,,New York,New York City,5-7 years,5-7 years,College degree
25-34,Government and Public Administration,Staff Attorney,81000,,Connecticut,Hartford,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
25-34,Utilities & Telecommunications,Electrical systems engineer,82275,4113.0,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree
25-34,Law,Associate,210000,10000.0,California,Los Angeles,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
55-64,Education (Higher Education),Accounts Receivable Associate,48000,500.0,Texas,Frisco,31 - 40 years,5-7 years,College degree
35-44,Engineering or Manufacturing,Process Development Supervisor,84562,,Pennsylvania,"Wayne, PA",11 - 20 years,8 - 10 years,College degree
35-44,Government and Public Administration,Research Methodology Consultant,124719,0.0,District of Columbia,Washington DC,11 - 20 years,8 - 10 years,PhD
45-54,Entertainment,Director of Ticketing and Box Office,96000,0.0,Nevada,Las Vegas,31 - 40 years,11 - 20 years,Master's degree
35-44,public library,Librarian II - Adult Services Manager,51000,0.0,Texas,missouri city,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,"Marketing, Advertising & PR",Sr. Content Editor,63000,,Illinois,Chicago,2 - 4 years,2 - 4 years,Master's degree
35-44,Nonprofits,Executive Director,51000,1000.0,Maine,Bethel,11 - 20 years,8 - 10 years,College degree
25-34,Government and Public Administration,IT specialist,78000,2000.0,North Dakota,Fort bragg,8 - 10 years,5-7 years,College degree
45-54,Education (Higher Education),Associate Professor,79800,7000.0,Ohio,Northeast Ohio,21 - 30 years,21 - 30 years,PhD
35-44,Government and Public Administration,Lead Accountant,49500,0.0,Indiana,Columbus,11 - 20 years,5-7 years,College degree
35-44,Biotechnology,Manager PV Compliance & Training,130000,20000.0,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree
55-64,"Accounting, Banking & Finance",Senior Accountant,72000,12000.0,Texas,Houston,31 - 40 years,21 - 30 years,College degree
25-34,"Marketing, Advertising & PR",Senior Marketing Coordinator,75000,3000.0,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree
18-24,Nonprofits,Land manager,42000,,Maryland,Owings Mills,2 - 4 years,2 - 4 years,College degree
35-44,Media & Digital,Associate Publicity DIrector,94000,3000.0,New York,New York,11 - 20 years,11 - 20 years,College degree
25-34,Government and Public Administration,Health Program Administrator 1,75000,0.0,New York,Albany,8 - 10 years,8 - 10 years,Master's degree
25-34,Health care,Manager II Rehab Services,98000,2000.0,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,Master's degree
55-64,Law,Law Firm Administrator,90000,7500.0,California,Fresno,31 - 40 years,11 - 20 years,Some college
25-34,Nonprofits,Associate Events Manager,37960,4500.0,California,San Diego,8 - 10 years,5-7 years,College degree
35-44,Engineering or Manufacturing,SRE,185000,40000.0,California,San Diego,21 - 30 years,21 - 30 years,Some college
25-34,Education (Higher Education),PhD Candidate,32000,,Connecticut,New Haven,11 - 20 years,5-7 years,Master's degree
35-44,Education (Higher Education),Director of Educational Counseling,91000,3000.0,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree
35-44,Government and Public Administration,Town Clerk,75000,3000.0,North Carolina,Charlotte area,11 - 20 years,11 - 20 years,College degree
45-54,Computing or Tech,CTO,245000,60000.0,Utah,Salt Lake City,21 - 30 years,21 - 30 years,PhD
25-34,R&D in Manufacturing,R&D Project Manager,60000,6000.0,Michigan,Grand Rapids,2 - 4 years,5-7 years,College degree
25-34,Media & Digital,Content and Brand Strategist,52500,2000.0,Colorado,Denver,8 - 10 years,5-7 years,College degree
35-44,Education (Higher Education),Assistant Professor of History,70000,0.0,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD
45-54,Engineering or Manufacturing,Project Engineer,114400,,Washington,"Remote work in CA, company is in WA",21 - 30 years,11 - 20 years,Master's degree
25-34,Health care,Office Manager,44345,0.0,Tennessee,Germantown,5-7 years,5-7 years,College degree
25-34,Nonprofits,Director,74000,0.0,Michigan,Detroit,8 - 10 years,8 - 10 years,College degree
35-44,Entertainment,General Manager,36800,5000.0,Missouri,St Louis,8 - 10 years,5-7 years,Some college
45-54,Utilities & Telecommunications,Human Resources Manager,132000,,Washington,Everett,21 - 30 years,21 - 30 years,Master's degree
35-44,Computing or Tech,Senior Developer,165000,2000.0,California,San Francisco,11 - 20 years,5-7 years,College degree
25-34,Law,Paralegal,87000,3000.0,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,College degree
25-34,Computing or Tech,UX researcher,115000,12000.0,California,San Francisco,2 - 4 years,1 year or less,College degree
25-34,Education (Higher Education),Associate Director of Alumni Relations,90000,,Massachusetts,Cambridge,11 - 20 years,2 - 4 years,Master's degree
35-44,"Accounting, Banking & Finance",Accounting Manager,80000,5500.0,Kansas,Overland Park,11 - 20 years,11 - 20 years,College degree
45-54,Computing or Tech,Production Analyst,65000,65000.0,Kansas,Kansas City,21 - 30 years,8 - 10 years,Master's degree
25-34,Engineering or Manufacturing,Manufacturing Engineer Manager,77000,500.0,Massachusetts,Torrington,5-7 years,5-7 years,Master's degree
35-44,"Accounting, Banking & Finance",Bookkkeeper,12000,,Missouri,Columbia,8 - 10 years,1 year or less,College degree
35-44,Computing or Tech,Training Manager,109000,10900.0,Utah,Salt Lake City,11 - 20 years,11 - 20 years,Master's degree
25-34,Nonprofits,Annual Giving Manager,47736,,Florida,Tampa,5-7 years,2 - 4 years,College degree
45-54,Government and Public Administration,Public Affairs Officer,106000,0.0,District of Columbia,Washington,21 - 30 years,11 - 20 years,College degree
25-34,Law,Project Manager,98530,7000.0,Oregon,Portland,5-7 years,2 - 4 years,Master's degree
55-64,Nonprofits,Human Resources Generalist,31824,,Arizona,Apache Junction,31 - 40 years,5-7 years,College degree
25-34,Computing or Tech,QA Lead,74880,,Colorado,Thornton,5-7 years,5-7 years,Some college
